|||||From : 01/01/2013 To : 01/18/2014    By user : Super Admin
|No|Date|Bill No.|Customer|Bill Total|Paid|Collection|Days
Other Custermer (OTH)
|1|07/06/13|98|No Name|85.5|0|85.5|196|
|2|07/13/13|242|Mr.Weerasinghe|346|0|346|189|
|3|07/13/13|243|Kottawa Garment|15994.52|0|15994.52|189|
|4|07/08/13|139|Ranji vendol|173|0|173|194|
|5|07/16/13|321|Lakmali Cafe -Hirigalketiya|1061.58|0|1061.58|186|
|6|07/21/13|473|Lakmali Cafe -Hirigalketiya|729|0|729|181|
|7|07/21/13|474|W.H.G. st - Hirigalkatiya|656.25|0|656.25|181|
|8|07/24/13|528|Lakmali Cafe -Hirigalketiya|899.16|0|899.16|178|
|9|07/09/13|559|No Name|891.09|0|891.09|193|
|10|07/09/13|750|No Name|660.03|0|660.03|193|
|11|08/03/13|875|Lakmali Cafe -Hirigalketiya|1052.16|0|1052.16|168|
|12|08/06/13|878|No Name|309.76|0|309.76|165|
|13|08/08/13|993|No Name|270|0|270|163|
|14|08/10/13|1063|No Name|105.4|0|105.4|161|
|15|08/10/13|1064|No Name|233.58|0|233.58|161|
|16|08/12/13|1079|W.H.G. st - Hirigalkatiya|2360.34|0|2360.34|159|
|17|08/12/13|1080|No Name|2617.83|0|2617.83|159|
|18|08/13/13|1129|No Name|22.5|0|22.5|158|
|19|08/14/13|1177|No Name|81|0|81|157|
|20|08/14/13|1179|W.H.G. st - Hirigalkatiya|540|0|540|157|
|21|08/12/13|1201|No Name|730.4|0|730.4|159|
|22|08/12/13|1201|No Name|730.4|0|730.4|159|
|23|08/17/13|1343|No Name|465.38|0|465.38|154|
|24|08/19/13|1379|No Name|270|0|270|152|
|25|08/19/13|1380|W.H.G. st - Hirigalkatiya|5063.2|0|5063.2|152|
|26|08/21/13|1413|No Name|254|0|254|150|
|27|08/27/13|1578|No Name|432|0|432|144|
|28|08/27/13|1575|No Name|235.88|0|235.88|144|
|29|08/28/13|1603|No Name|1311.52|0|1311.52|143|
|30|08/29/13|1639|No Name|161.25|0|161.25|142|
|31|08/29/13|1642|W.H.G. st - Hirigalkatiya|1107|0|1107|142|
|32|09/06/13|1940|No Name|372.6|0|372.6|134|
|33|09/06/13|1941|No Name|1239.04|0|1239.04|134|
|34|09/07/13|1987|No Name|154.88|0|154.88|133|
|35|09/09/13|2059|No Name|154.88|0|154.88|131|
|36|09/10/13|2130|No Name|715.88|0|715.88|130|
|37|09/12/13|2197|No Name|2324.4|0|2324.4|128|
|38|09/17/13|2315|No Name|103.5|0|103.5|123|
|39|09/12/13|2408|No Name|231.75|0|231.75|128|
|40|09/12/13|2409|No Name|154.88|0|154.88|128|
|41|09/22/13|2486|W.H.G. st - Hirigalkatiya|1215|0|1215|118|
|42|09/23/13|2526|No Name|254|0|254|117|
|43|09/23/13|2527|Ranji vendol|173|0|173|117|
|44|09/24/13|2556|No Name|189|0|189|116|
|45|09/24/13|2557|No Name|233.58|0|233.58|116|
|46|10/02/13|2796|No Name|157.5|0|157.5|108|
|47|10/02/13|2797|W.H.G. st - Hirigalkatiya|540|0|540|108|
|48|10/01/13|2856|No Name|43.75|0|43.75|109|
|49|10/04/13|2890|No Name|31.5|0|31.5|106|
|50|10/04/13|2891|W.H.G. st - Hirigalkatiya|6386.04|0|6386.04|106|
|51|10/02/13|2903|No Name|292.5|0|292.5|108|
|52|10/05/13|2930|No Name|378|0|378|105|
|53|10/07/13|2956|No Name|26.25|0|26.25|103|
|54|10/08/13|2989|W.H.G. st - Hirigalkatiya|2138.7|0|2138.7|102|
|55|10/10/13|3079|Asanka Yasan|429.38|0|429.38|100|
